"tractid10","city"
6001400100,"Oakland"
6001400200,"Oakland"
6001400300,"Oakland"
6001400400,"Oakland"
6001400500,"Oakland"
6001400600,"Oakland"
6001400700,"Oakland"
6001400800,"Oakland"
6001400900,"Oakland"
6001401000,"Oakland"
6001401100,"Oakland"
6001401200,"Oakland"
6001401300,"Oakland"
6001401400,"Oakland"
6001401500,"Oakland"
6001401600,"Oakland"
6001401700,"Oakland"
6001401800,"Oakland"
6001402200,"Oakland"
6001402400,"Oakland"
6001402500,"Oakland"
6001402600,"Oakland"
6001402700,"Oakland"
6001402800,"Oakland"
6001402900,"Oakland"
6001403000,"Oakland"
6001403100,"Oakland"
6001403300,"Oakland"
6001403400,"Oakland"
6001403501,"Oakland"
6001403502,"Oakland"
6001403600,"Oakland"
6001403701,"Oakland"
6001403702,"Oakland"
6001403800,"Oakland"
6001403900,"Oakland"
6001404000,"Oakland"
6001404101,"Oakland"
6001404102,"Oakland"
6001404200,"Oakland"
6001404300,"Oakland"
6001404400,"Oakland"
6001404501,"Oakland"
6001404502,"Oakland"
6001404600,"Oakland"
6001404700,"Oakland"
6001404800,"Oakland"
6001404900,"Oakland"
6001405000,"Oakland"
6001405100,"Oakland"
6001405200,"Oakland"
6001405301,"Oakland"
6001405302,"Oakland"
6001405401,"Oakland"
6001405402,"Oakland"
6001405500,"Oakland"
6001405600,"Oakland"
6001405700,"Oakland"
6001405800,"Oakland"
6001405901,"Oakland"
6001405902,"Oakland"
6001406000,"Oakland"
6001406100,"Oakland"
6001406201,"Oakland"
6001406202,"Oakland"
6001406300,"Oakland"
6001406400,"Oakland"
6001406500,"Oakland"
6001406601,"Oakland"
6001406602,"Oakland"
6001406700,"Oakland"
6001406800,"Oakland"
6001406900,"Oakland"
6001407000,"Oakland"
6001407101,"Oakland"
6001407102,"Oakland"
6001407200,"Oakland"
6001407300,"Oakland"
6001407400,"Oakland"
6001407500,"Oakland"
6001407600,"Oakland"
6001407700,"Oakland"
6001407800,"Oakland"
6001407900,"Oakland"
6001408000,"Oakland"
6001408100,"Oakland"
6001408200,"Oakland"
6001408300,"Oakland"
6001408400,"Oakland"
6001408500,"Oakland"
6001408600,"Oakland"
6001408700,"Oakland"
6001408800,"Oakland"
6001408900,"Oakland"
6001409000,"Oakland"
6001409100,"Oakland"
6001409200,"Oakland"
6001409300,"Oakland"
6001409400,"Oakland"
6001409500,"Oakland"
6001409600,"Oakland"
6001409700,"Oakland"
6001409800,"Oakland"
6001409900,"Oakland"
6001410000,"Oakland"
6001410100,"Oakland"
6001410200,"Oakland"
6001410300,"Oakland"
6001410400,"Oakland"
6001410500,"Oakland"
6001981900,"Oakland"
6001982000,"Oakland"
6001983200,"Oakland"
6075010100,"San Francisco"
6075010200,"San Francisco"
6075010300,"San Francisco"
6075010400,"San Francisco"
6075010500,"San Francisco"
6075010600,"San Francisco"
6075010700,"San Francisco"
6075010800,"San Francisco"
6075010900,"San Francisco"
6075011000,"San Francisco"
6075011100,"San Francisco"
6075011200,"San Francisco"
6075011300,"San Francisco"
6075011700,"San Francisco"
6075011800,"San Francisco"
6075011901,"San Francisco"
6075011902,"San Francisco"
6075012000,"San Francisco"
6075012100,"San Francisco"
6075012201,"San Francisco"
6075012202,"San Francisco"
6075012301,"San Francisco"
6075012302,"San Francisco"
6075012401,"San Francisco"
6075012402,"San Francisco"
6075012501,"San Francisco"
6075012502,"San Francisco"
6075012601,"San Francisco"
6075012602,"San Francisco"
6075012700,"San Francisco"
6075012800,"San Francisco"
6075012901,"San Francisco"
6075012902,"San Francisco"
6075013000,"San Francisco"
6075013101,"San Francisco"
6075013102,"San Francisco"
6075013200,"San Francisco"
6075013300,"San Francisco"
6075013400,"San Francisco"
6075013500,"San Francisco"
6075015100,"San Francisco"
6075015200,"San Francisco"
6075015300,"San Francisco"
6075015400,"San Francisco"
6075015500,"San Francisco"
6075015600,"San Francisco"
6075015700,"San Francisco"
6075015801,"San Francisco"
6075015802,"San Francisco"
6075015900,"San Francisco"
6075016000,"San Francisco"
6075016100,"San Francisco"
6075016200,"San Francisco"
6075016300,"San Francisco"
6075016400,"San Francisco"
6075016500,"San Francisco"
6075016600,"San Francisco"
6075016700,"San Francisco"
6075016801,"San Francisco"
6075016802,"San Francisco"
6075016900,"San Francisco"
6075017000,"San Francisco"
6075017101,"San Francisco"
6075017102,"San Francisco"
6075017601,"San Francisco"
6075017700,"San Francisco"
6075017801,"San Francisco"
6075017802,"San Francisco"
6075017902,"San Francisco"
6075018000,"San Francisco"
6075020100,"San Francisco"
6075020200,"San Francisco"
6075020300,"San Francisco"
6075020401,"San Francisco"
6075020402,"San Francisco"
6075020500,"San Francisco"
6075020600,"San Francisco"
6075020700,"San Francisco"
6075020800,"San Francisco"
6075020900,"San Francisco"
6075021000,"San Francisco"
6075021100,"San Francisco"
6075021200,"San Francisco"
6075021300,"San Francisco"
6075021400,"San Francisco"
6075021500,"San Francisco"
6075021600,"San Francisco"
6075021700,"San Francisco"
6075021800,"San Francisco"
6075022600,"San Francisco"
6075022702,"San Francisco"
6075022704,"San Francisco"
6075022801,"San Francisco"
6075022802,"San Francisco"
6075022803,"San Francisco"
6075022901,"San Francisco"
6075022902,"San Francisco"
6075022903,"San Francisco"
6075023001,"San Francisco"
6075023003,"San Francisco"
6075023102,"San Francisco"
6075023103,"San Francisco"
6075023200,"San Francisco"
6075023300,"San Francisco"
6075023400,"San Francisco"
6075025100,"San Francisco"
6075025200,"San Francisco"
6075025300,"San Francisco"
6075025401,"San Francisco"
6075025402,"San Francisco"
6075025403,"San Francisco"
6075025500,"San Francisco"
6075025600,"San Francisco"
6075025701,"San Francisco"
6075025702,"San Francisco"
6075025800,"San Francisco"
6075025900,"San Francisco"
6075026001,"San Francisco"
6075026002,"San Francisco"
6075026003,"San Francisco"
6075026004,"San Francisco"
6075026100,"San Francisco"
6075026200,"San Francisco"
6075026301,"San Francisco"
6075026302,"San Francisco"
6075026303,"San Francisco"
6075026401,"San Francisco"
6075026402,"San Francisco"
6075026403,"San Francisco"
6075026404,"San Francisco"
6075030101,"San Francisco"
6075030102,"San Francisco"
6075030201,"San Francisco"
6075030202,"San Francisco"
6075030301,"San Francisco"
6075030302,"San Francisco"
6075030400,"San Francisco"
6075030500,"San Francisco"
6075030600,"San Francisco"
6075030700,"San Francisco"
6075030800,"San Francisco"
6075030900,"San Francisco"
6075031000,"San Francisco"
6075031100,"San Francisco"
6075031201,"San Francisco"
6075031202,"San Francisco"
6075031301,"San Francisco"
6075031302,"San Francisco"
6075031400,"San Francisco"
6075032601,"San Francisco"
6075032602,"San Francisco"
6075032700,"San Francisco"
6075032801,"San Francisco"
6075032802,"San Francisco"
6075032901,"San Francisco"
6075032902,"San Francisco"
6075033000,"San Francisco"
6075033100,"San Francisco"
6075033201,"San Francisco"
6075033203,"San Francisco"
6075033204,"San Francisco"
6075035100,"San Francisco"
6075035201,"San Francisco"
6075035202,"San Francisco"
6075035300,"San Francisco"
6075035400,"San Francisco"
6075040100,"San Francisco"
6075040200,"San Francisco"
6075042601,"San Francisco"
6075042602,"San Francisco"
6075042700,"San Francisco"
6075042800,"San Francisco"
6075045100,"San Francisco"
6075045200,"San Francisco"
6075047600,"San Francisco"
6075047701,"San Francisco"
6075047702,"San Francisco"
6075047801,"San Francisco"
6075047802,"San Francisco"
6075047901,"San Francisco"
6075047902,"San Francisco"
6075060100,"San Francisco"
6075060400,"San Francisco"
6075060502,"San Francisco"
6075060700,"San Francisco"
6075061000,"San Francisco"
6075061100,"San Francisco"
6075061200,"San Francisco"
6075061400,"San Francisco"
6075061500,"San Francisco"
6075980200,"San Francisco"
6075980300,"San Francisco"
6075980401,"San Francisco"
6075980501,"San Francisco"
6075980600,"San Francisco"
6075980900,"San Francisco"
6085500100,"San Jose"
6085500200,"San Jose"
6085500300,"San Jose"
6085500400,"San Jose"
6085500500,"San Jose"
6085500600,"San Jose"
6085500800,"San Jose"
6085500901,"San Jose"
6085500902,"San Jose"
6085501000,"San Jose"
6085501101,"San Jose"
6085501102,"San Jose"
6085501200,"San Jose"
6085501300,"San Jose"
6085501401,"San Jose"
6085501402,"San Jose"
6085501501,"San Jose"
6085501502,"San Jose"
6085501600,"San Jose"
6085501700,"San Jose"
6085501800,"San Jose"
6085501900,"San Jose"
6085502002,"San Jose"
6085502101,"San Jose"
6085502102,"San Jose"
6085502201,"San Jose"
6085502202,"San Jose"
6085502301,"San Jose"
6085502302,"San Jose"
6085502400,"San Jose"
6085502500,"San Jose"
6085502601,"San Jose"
6085502701,"San Jose"
6085502702,"San Jose"
6085502901,"San Jose"
6085502902,"San Jose"
6085502903,"San Jose"
6085502906,"San Jose"
6085502907,"San Jose"
6085502908,"San Jose"
6085502909,"San Jose"
6085502910,"San Jose"
6085503001,"San Jose"
6085503002,"San Jose"
6085503003,"San Jose"
6085503105,"San Jose"
6085503108,"San Jose"
6085503110,"San Jose"
6085503111,"San Jose"
6085503112,"San Jose"
6085503113,"San Jose"
6085503115,"San Jose"
6085503116,"San Jose"
6085503117,"San Jose"
6085503118,"San Jose"
6085503121,"San Jose"
6085503122,"San Jose"
6085503123,"San Jose"
6085503204,"San Jose"
6085503207,"San Jose"
6085503208,"San Jose"
6085503210,"San Jose"
6085503211,"San Jose"
6085503212,"San Jose"
6085503213,"San Jose"
6085503214,"San Jose"
6085503217,"San Jose"
6085503218,"San Jose"
6085503304,"San Jose"
6085503305,"San Jose"
6085503306,"San Jose"
6085503312,"San Jose"
6085503313,"San Jose"
6085503315,"San Jose"
6085503321,"San Jose"
6085503322,"San Jose"
6085503323,"San Jose"
6085503324,"San Jose"
6085503325,"San Jose"
6085503326,"San Jose"
6085503327,"San Jose"
6085503329,"San Jose"
6085503330,"San Jose"
6085503331,"San Jose"
6085503332,"San Jose"
6085503333,"San Jose"
6085503334,"San Jose"
6085503336,"San Jose"
6085503337,"San Jose"
6085503401,"San Jose"
6085503402,"San Jose"
6085503504,"San Jose"
6085503506,"San Jose"
6085503507,"San Jose"
6085503508,"San Jose"
6085503509,"San Jose"
6085503510,"San Jose"
6085503511,"San Jose"
6085503601,"San Jose"
6085503602,"San Jose"
6085503703,"San Jose"
6085503707,"San Jose"
6085503708,"San Jose"
6085503709,"San Jose"
6085503710,"San Jose"
6085503711,"San Jose"
6085503712,"San Jose"
6085503713,"San Jose"
6085503802,"San Jose"
6085503803,"San Jose"
6085503804,"San Jose"
6085503903,"San Jose"
6085504001,"San Jose"
6085504002,"San Jose"
6085504202,"San Jose"
6085504307,"San Jose"
6085504308,"San Jose"
6085504311,"San Jose"
6085504314,"San Jose"
6085504315,"San Jose"
6085504316,"San Jose"
6085504317,"San Jose"
6085504318,"San Jose"
6085504319,"San Jose"
6085504320,"San Jose"
6085504321,"San Jose"
6085504322,"San Jose"
6085504323,"San Jose"
6085504410,"San Jose"
6085504411,"San Jose"
6085504602,"San Jose"
6085505006,"San Jose"
6085505008,"San Jose"
6085505009,"San Jose"
6085505100,"San Jose"
6085505800,"San Jose"
6085506202,"San Jose"
6085506203,"San Jose"
6085506204,"San Jose"
6085506301,"San Jose"
6085506302,"San Jose"
6085506304,"San Jose"
6085506305,"San Jose"
6085506401,"San Jose"
6085506402,"San Jose"
6085506501,"San Jose"
6085506601,"San Jose"
6085506603,"San Jose"
6085506604,"San Jose"
6085506605,"San Jose"
6085506802,"San Jose"
6085506803,"San Jose"
6085507903,"San Jose"
6085507904,"San Jose"
6085507905,"San Jose"
6085507906,"San Jose"
6085511905,"San Jose"
6085511907,"San Jose"
6085511909,"San Jose"
6085511910,"San Jose"
6085511911,"San Jose"
6085511912,"San Jose"
6085511913,"San Jose"
6085511914,"San Jose"
6085511915,"San Jose"
6085511916,"San Jose"
6085512001,"San Jose"
6085512005,"San Jose"
6085512017,"San Jose"
6085512019,"San Jose"
6085512020,"San Jose"
6085512021,"San Jose"
6085512022,"San Jose"
6085512023,"San Jose"
6085512024,"San Jose"
6085512025,"San Jose"
6085512026,"San Jose"
6085512027,"San Jose"
6085512029,"San Jose"
6085512030,"San Jose"
6085512031,"San Jose"
6085512032,"San Jose"
6085512033,"San Jose"
6085512034,"San Jose"
6085512035,"San Jose"
6085512036,"San Jose"
6085512037,"San Jose"
6085512038,"San Jose"
6085512039,"San Jose"
6085512042,"San Jose"
6085512043,"San Jose"
6085512045,"San Jose"
6085512047,"San Jose"
6085512052,"San Jose"
6085512053,"San Jose"
