"trtid10","county","pop00","pop6a","hu00","hu6a"
6001400100,"Alameda County",2497.3837890625,3018,1176.70959472656,1349
6001400200,"Alameda County",1909.41796875,1960,872.733947753906,845
6001400300,"Alameda County",4878.58203125,5236,2567.26611328125,2555
6001400400,"Alameda County",3659,4171,1880,1871
6001400500,"Alameda County",3410,3748,1592,1693
6001400600,"Alameda County",1707,1661,746,748
6001400700,"Alameda County",4451,4552,1901,1936
6001400800,"Alameda County",3368,3506,1420,1769
6001400900,"Alameda County",2456,2262,1116,1141
6001401000,"Alameda County",5590.94384765625,6193,2423.81958007812,2729
6001401100,"Alameda County",4007,4138,2039,2079
6001401200,"Alameda County",2432,2614,1237,1254
6001401300,"Alameda County",2810,3976,1454,1809
6001401400,"Alameda County",4765,4108,1681,1727
6001401500,"Alameda County",2413,2605,1026,1193
6001401600,"Alameda County",1933,2173,668,865
6001401700,"Alameda County",1878,2679,645,1299
6001401800,"Alameda County",1953,1866,754,782
6001402200,"Alameda County",2559.15380859375,2406,885.904541015625,962
6001402400,"Alameda County",2600.34106445312,2773,1145.52172851562,1199
6001402500,"Alameda County",1779,1833,711,777
6001402600,"Alameda County",977,1272,506,673
6001402700,"Alameda County",1944.75939941406,1734,716.359130859375,745
6001402800,"Alameda County",1898.8994140625,3798,1348.119140625,2481
6001402900,"Alameda County",1291,1392,921,891
6001403000,"Alameda County",2734,3167,1551,1760
6001403100,"Alameda County",1647,1721,480,723
6001403300,"Alameda County",2310,4159,957,2310
6001403400,"Alameda County",3697,4360,2518,2999
6001403501,"Alameda County",4292.7490234375,4435,2570.50854492188,2815
6001403502,"Alameda County",2053.2509765625,2081,1229.49169921875,1272
6001403600,"Alameda County",4400,4751,2671,2620
6001403701,"Alameda County",2796,2755,1981.60192871094,1766
6001403702,"Alameda County",1900.96276855469,2027,1338.55053710938,1183
6001403800,"Alameda County",3453.3046875,3323,1945.15246582031,1859
6001403900,"Alameda County",3794,3938,2257,2244
6001404000,"Alameda County",2885,2932,1832,1769
6001404101,"Alameda County",2949.78686523438,3187,1916.02624511719,1757
6001404102,"Alameda County",2400.74096679688,2438,1562.70825195312,1613
6001404200,"Alameda County",3176,3650,1374,1395
6001404300,"Alameda County",3089,3329,1336,1328
6001404400,"Alameda County",4699,5404,2163,2368
6001404501,"Alameda County",1575,1836,685,693
6001404502,"Alameda County",5493,5403,2412,2339
6001404600,"Alameda County",4296,4347,1782,1820
6001404700,"Alameda County",1927,2166,809,808
6001404800,"Alameda County",2683,2784,1272,1289
6001404900,"Alameda County",4356,3995,2023,2020
6001405000,"Alameda County",3200.77368164062,3248,1602.38488769531,1597
6001405100,"Alameda County",4161,4265,1614,1604
6001405200,"Alameda County",4948.958984375,5099,2548.31005859375,2534
6001405301,"Alameda County",2943,2899,1590.47021484375,1634
6001405302,"Alameda County",2895,2616,1564.52978515625,1533
6001405401,"Alameda County",4759,4087,1652.39111328125,1787
6001405402,"Alameda County",3622,3239,1257.60888671875,1244
6001405500,"Alameda County",4147,4104,1623,1699
6001405600,"Alameda County",3734,3148,1484,1470
6001405700,"Alameda County",3782.14453125,3701,1403.14282226562,1474
6001405800,"Alameda County",4751.85546875,4237,1349.85717773438,1400
6001405901,"Alameda County",4602.60888671875,4293,1244.80053710938,1191
6001405902,"Alameda County",3280.39086914062,3170,887.199462890625,990
6001406000,"Alameda County",3654.94311523438,3447,1388.97839355469,1558
6001406100,"Alameda County",4301.056640625,4835,1271.02160644531,1636
6001406201,"Alameda County",5802,4296,1475,1480
6001406202,"Alameda County",5084,4674,1250,1402
6001406300,"Alameda County",4410,4148,1244,1265
6001406400,"Alameda County",2276,2218,713,769
6001406500,"Alameda County",6253,6574,1934,2090
6001406601,"Alameda County",4968,4835,1719.86376953125,1847
6001406602,"Alameda County",2837,2767,982.136352539062,992
6001406700,"Alameda County",5224,4969,2208,2321
6001406800,"Alameda County",3611,3483,1411,1422
6001406900,"Alameda County",3695,3989,1504,1550
6001407000,"Alameda County",6652,5902,2170,2144
6001407101,"Alameda County",3619,3538,1043.44372558594,1098
6001407102,"Alameda County",4757,4296,1371.55627441406,1422
6001407200,"Alameda County",7039,6616,1823,1971
6001407300,"Alameda County",2516,2501,731,803
6001407400,"Alameda County",4157,4452,1160,1222
6001407500,"Alameda County",4388,4201,1307,1407
6001407600,"Alameda County",6681,6398,2199,2288
6001407700,"Alameda County",4599,4323,1815,1843
6001407800,"Alameda County",2453,2719,806,820
6001407900,"Alameda County",2788,3077,1153,1149
6001408000,"Alameda County",2404,2739,928,1062
6001408100,"Alameda County",5763,6266,2437.47998046875,2818
6001408200,"Alameda County",4388,4162,1771,1877
6001408300,"Alameda County",4799,4939,1787,1838
6001408400,"Alameda County",3782,3129,1265,1258
6001408500,"Alameda County",5305.14208984375,5747,1632.43151855469,1753
6001408600,"Alameda County",5232,6292,1705,1957
6001408700,"Alameda County",7504,7758,2412,2590
6001408800,"Alameda County",5174,6348,1544,2076
6001408900,"Alameda County",3340.85791015625,3105,1033.56848144531,1106
6001409000,"Alameda County",3327,3752,989,1106
6001409100,"Alameda County",2163,2414,648,703
6001409200,"Alameda County",3168.81762695312,3583,894.248596191406,986
6001409300,"Alameda County",5470.9365234375,4986,1530.10888671875,1624
6001409400,"Alameda County",4455,4888,1121,1345
6001409500,"Alameda County",3555,4348,959,1179
6001409600,"Alameda County",5235,4843,1549,1606
6001409700,"Alameda County",5208,5493,1612,1782
6001409800,"Alameda County",3250,3220,1217,1360
6001409900,"Alameda County",3499,3449,1443,1437
6001410000,"Alameda County",2845.33959960938,3224,1156.73266601562,1202
6001410100,"Alameda County",2784,2734,977,1091
6001410200,"Alameda County",3550,3374,1174,1216
6001410300,"Alameda County",3728,3534,1030,1063
6001410400,"Alameda County",3366,4501,1090,1409
6001410500,"Alameda County",1614,2303,894,988
6001420100,"Alameda County",2339,2432,943,914
6001420200,"Alameda County",2672,3334,1266,1298
6001420300,"Alameda County",4386,4690,2106,2081
6001420400,"Alameda County",1721,3301,679,1225
6001420500,"Alameda County",2152,2502,961,992
6001420600,"Alameda County",3174,3161,1293,1315
